"Week","Day","Date","Time","Home","Away"
"13","Thu","2023-11-30","8:15PM","Seattle Seahawks","Dallas Cowboys"
"13","Sun","2023-12-03","8:20PM","Kansas City Chiefs","Green Bay Packers"
"13","Mon","2023-12-04","8:15PM","Cincinnati Bengals","Jacksonville Jaguars"
"14","Thu","2023-12-07","8:15PM","New England Patriots","Pittsburgh Steelers"
"14","Sun","2023-12-10","8:20PM","Philadelphia Eagles","Dallas Cowboys"
"14","Mon","2023-12-11","8:15PM","Tennessee Titans","Miami Dolphins"
"14","Mon","2023-12-11","8:15PM","Green Bay Packers","New York Giants"
"15","Thu","2023-12-14","8:15PM","Los Angeles Chargers","Las Vegas Raiders"
"15","Sun","2023-12-17","8:20PM","Baltimore Ravens","Jacksonville Jaguars"
"15","Mon","2023-12-18","8:15PM","Kansas City Chiefs","New England Patriots"
"16","Thu","2023-12-21","8:15PM","New Orleans Saints","Los Angeles Rams"
"16","Sat","2023-12-23","8:00PM","Buffalo Bills","Los Angeles Chargers"
"16","Sun","2023-12-24","8:15PM","New England Patriots","Denver Broncos"
"16","Mon","2023-12-25","8:15PM","Baltimore Ravens","San Francisco 49ers"
"17","Thu","2023-12-28","8:15PM","New York Jets","Cleveland Browns"
"17","Sat","2023-12-30","8:15PM","Detroit Lions","Dallas Cowboys"
"17","Sun","2023-12-31","8:20PM","Green Bay Packers","Minnesota Vikings"
